Entity,Country Code,Year,Homiciderate
Australia,AUS,2021,0.74456745










Austria,AUT,1990,1.1590459
Austria,AUT,1991,1.3280661
Austria,AUT,1992,1.2371161
Austria,AUT,1993,1.0119822
Austria,AUT,1994,1.1089597
Austria,AUT,1995,0.98146594
Austria,AUT,1996,1.2440248
Austria,AUT,1997,0.8284075
Austria,AUT,1998,0.9654129
Austria,AUT,1999,0.7508093
Austria,AUT,2000,1.0236655
Austria,AUT,2001,0.8706873
Austria,AUT,2002,0.80455583
Austria,AUT,2003,0.6157557
Austria,AUT,2004,0.72204673
Austria,AUT,2005,0.6563726
Austria,AUT,2006,0.7378053
Austria,AUT,2007,0.54251367
Austria,AUT,2008,0.6970206
Austria,AUT,2009,0.61129564
Austria,AUT,2010,0.7294182
Austria,AUT,2011,0.91762805
Austria,AUT,2012,0.96089554
Austria,AUT,2013,0.7193787
Austria,AUT,2014,0.4914542
Austria,AUT,2015,0.5091166
Austria,AUT,2016,0.6180974
Austria,AUT,2017,0.79568094
Austria,AUT,2018,0.9727943
Austria,AUT,2019,0.867123
Austria,AUT,2020,0.72969943
Austria,AUT,2021,0.7285295






















Belarus,BLR,1990,4.8712544
Belarus,BLR,1991,4.44652
Belarus,BLR,1992,5.670153
Belarus,BLR,1993,7.2134075
Belarus,BLR,1994,7.913783
Belarus,BLR,1995,9.176332
Belarus,BLR,1996,9.29434
Belarus,BLR,1997,9.816436
Belarus,BLR,1998,10.002446
Belarus,BLR,1999,9.448712
Belarus,BLR,2000,9.87668
Belarus,BLR,2001,9.498875
Belarus,BLR,2002,9.757891
Belarus,BLR,2007,6.604935
Belarus,BLR,2008,5.639659
Belarus,BLR,2009,4.9909263
Belarus,BLR,2010,4.12067
Belarus,BLR,2011,3.842595
Belarus,BLR,2012,3.5074148
Belarus,BLR,2013,3.4361296
Belarus,BLR,2014,3.5074184
Belarus,BLR,2015,3.3606138
Belarus,BLR,2016,3.1623044
Belarus,BLR,2017,2.4722195
Belarus,BLR,2018,2.3309605
Belarus,BLR,2019,2.3258288








Belgium,BEL,1990,1.0409307
Belgium,BEL,1991,1.023646
Belgium,BEL,1992,1.2075212
Belgium,BEL,1993,1.4407884
Belgium,BEL,1994,1.1917552
Belgium,BEL,1995,1.4066094
Belgium,BEL,1996,1.1853925
Belgium,BEL,1997,1.427886
Belgium,BEL,2000,2.0654027
Belgium,BEL,2001,2.7354062
Belgium,BEL,2002,3.0804682
Belgium,BEL,2021,1.0765264





Bosnia and Herzegovina,BIH,1990,1.6242758
Bosnia and Herzegovina,BIH,2000,2.3687894
Bosnia and Herzegovina,BIH,2001,1.9547397
Bosnia and Herzegovina,BIH,2002,2.1436687
Bosnia and Herzegovina,BIH,2004,1.6413782
Bosnia and Herzegovina,BIH,2007,1.6467577
Bosnia and Herzegovina,BIH,2008,1.6736863
Bosnia and Herzegovina,BIH,2009,1.8309587
Bosnia and Herzegovina,BIH,2010,1.4693967
Bosnia and Herzegovina,BIH,2011,1.362492
Bosnia and Herzegovina,BIH,2012,1.7145778
Bosnia and Herzegovina,BIH,2013,1.2715758
Bosnia and Herzegovina,BIH,2014,1.4001416
Bosnia and Herzegovina,BIH,2015,1.6173314
Bosnia and Herzegovina,BIH,2016,1.2927371
Bosnia and Herzegovina,BIH,2017,1.2209207
Bosnia and Herzegovina,BIH,2018,1.1470153
Bosnia and Herzegovina,BIH,2019,1.2497354
Bosnia and Herzegovina,BIH,2020,1.2958022
Bosnia and Herzegovina,BIH,2021,0.9783111




Brazil,BRA,1990,19.442558
Brazil,BRA,1991,18.357327
Brazil,BRA,1992,16.656002
Brazil,BRA,1993,17.680256
Brazil,BRA,1994,18.543499
Brazil,BRA,1995,20.793213
Brazil,BRA,1996,23.424883
Brazil,BRA,1997,24.0331
Brazil,BRA,1998,24.526455
Brazil,BRA,1999,24.73625
Brazil,BRA,2000,25.79976
Brazil,BRA,2001,26.90898
Brazil,BRA,2002,27.543724
Brazil,BRA,2003,27.960468
Brazil,BRA,2004,26.19828
Brazil,BRA,2005,25.478415
Brazil,BRA,2006,26.037931
Brazil,BRA,2007,25.018942
Brazil,BRA,2008,26.020863
Brazil,BRA,2009,26.455711
Brazil,BRA,2010,26.630033
Brazil,BRA,2011,26.355639
Brazil,BRA,2012,28.197144
Brazil,BRA,2013,28.179903
Brazil,BRA,2014,29.358646
Brazil,BRA,2015,28.356405
Brazil,BRA,2016,29.589155
Brazil,BRA,2017,30.593037
Brazil,BRA,2018,26.636013
Brazil,BRA,2019,20.810465
Brazil,BRA,2020,22.384066








Bulgaria,BGR,1990,2.5890255
Bulgaria,BGR,1991,4.29964
Bulgaria,BGR,1992,5.329617
Bulgaria,BGR,1993,5.690042
Bulgaria,BGR,1994,5.755419
Bulgaria,BGR,1995,5.827135
Bulgaria,BGR,1996,5.213432
Bulgaria,BGR,1997,4.784249
Bulgaria,BGR,1998,4.6266346
Bulgaria,BGR,1999,4.006223
Bulgaria,BGR,2000,4.099934
Bulgaria,BGR,2001,3.833296
Bulgaria,BGR,2002,3.1975684
Bulgaria,BGR,2003,3.1195772
Bulgaria,BGR,2004,3.1022274
Bulgaria,BGR,2005,2.546313
Bulgaria,BGR,2006,2.3950443
Bulgaria,BGR,2007,2.2930326
Bulgaria,BGR,2008,2.2410676
Bulgaria,BGR,2009,1.9647046
Bulgaria,BGR,2010,1.9493505
Bulgaria,BGR,2011,1.6969084
Bulgaria,BGR,2012,1.8829263
Bulgaria,BGR,2013,1.4667951
Bulgaria,BGR,2014,1.5192329
Bulgaria,BGR,2015,1.7238423
Bulgaria,BGR,2016,1.0902605
Bulgaria,BGR,2017,1.4340553
Bulgaria,BGR,2018,1.2926013
Bulgaria,BGR,2019,1.1768823
Bulgaria,BGR,2020,0.9886556
Bulgaria,BGR,2021,1.2779799





Canada,CAN,1990,2.3755112
Canada,CAN,1991,2.6913424
Canada,CAN,1992,2.5857532
Canada,CAN,1993,2.1836066
Canada,CAN,1994,2.0565064
Canada,CAN,1995,2.0041366
Canada,CAN,1996,2.142337
Canada,CAN,1997,1.9609975
Canada,CAN,1998,1.8543822
Canada,CAN,1999,1.7730393
Canada,CAN,2000,1.7794689
Canada,CAN,2001,1.7869376
Canada,CAN,2002,1.8580953
Canada,CAN,2003,1.736273
Canada,CAN,2004,1.9585313
Canada,CAN,2005,2.061093
Canada,CAN,2006,1.8689367
Canada,CAN,2007,1.8166627
Canada,CAN,2008,1.8483654
Canada,CAN,2009,1.815805
Canada,CAN,2010,1.6400001
Canada,CAN,2011,1.774293
Canada,CAN,2012,1.582503
Canada,CAN,2013,1.4516441
Canada,CAN,2014,1.4828578
Canada,CAN,2015,1.7099458
Canada,CAN,2016,1.7057317
Canada,CAN,2017,1.8192091
Canada,CAN,2018,1.7874861
Canada,CAN,2019,1.8362274
Canada,CAN,2020,2.0032356
Canada,CAN,2021,2.0652595






Chile,CHL,2003,3.2347336
Chile,CHL,2005,3.5609825
Chile,CHL,2006,3.6119704
Chile,CHL,2007,3.734343
Chile,CHL,2008,3.529102
Chile,CHL,2009,3.742549
Chile,CHL,2010,3.181574
Chile,CHL,2011,3.7033644
Chile,CHL,2012,2.5026278
Chile,CHL,2013,3.175342
Chile,CHL,2014,2.4763799
Chile,CHL,2015,2.3446956
Chile,CHL,2016,3.428468
Chile,CHL,2017,4.240938
Chile,CHL,2018,4.4114227
Chile,CHL,2019,3.9444344
Chile,CHL,2020,4.797849
Chile,CHL,2021,3.6320386





China,CHN,1995,2.2457106
China,CHN,1996,2.0687962
China,CHN,1997,2.1061537
China,CHN,2002,2.0513282
China,CHN,2003,1.8925831
China,CHN,2004,1.9055121
China,CHN,2005,1.5917081
China,CHN,2006,1.3687598
China,CHN,2007,1.2197381
China,CHN,2008,1.1134691
China,CHN,2009,1.0952669
China,CHN,2010,0.9946659
China,CHN,2011,0.8853467
China,CHN,2012,0.82586884
China,CHN,2013,0.77319944
China,CHN,2014,0.72791475
China,CHN,2015,0.66010606
China,CHN,2016,0.615883
China,CHN,2017,0.5665558
China,CHN,2018,0.53102547
China,CHN,2019,0.5189666
China,CHN,2020,0.50227034





Colombia,COL,1990,74.628716
Colombia,COL,1991,85.42758
Colombia,COL,1992,83.043015
Colombia,COL,1993,82.16443
Colombia,COL,1994,76.72092
Colombia,COL,1995,62.054317
Colombia,COL,1996,63.741085
Colombia,COL,1997,62.211826
Colombia,COL,1998,60.849537
Colombia,COL,1999,63.12033
Colombia,COL,2000,67.6754
Colombia,COL,2001,69.88325
Colombia,COL,2002,70.170975
Colombia,COL,2003,57.29256
Colombia,COL,2004,48.525425
Colombia,COL,2005,42.895775
Colombia,COL,2006,40.86465
Colombia,COL,2007,39.712208
Colombia,COL,2008,36.836437
Colombia,COL,2009,35.693077
Colombia,COL,2010,34.494293
Colombia,COL,2011,35.59345
Colombia,COL,2012,35.90898
Colombia,COL,2013,33.35357
Colombia,COL,2014,28.585234
Colombia,COL,2015,27.128765
Colombia,COL,2016,26.040422
Colombia,COL,2017,25.434488
Colombia,COL,2018,26.231325
Colombia,COL,2019,25.753473
Colombia,COL,2020,24.242764
Colombia,COL,2021,27.484365






Costa Rica,CRI,1990,4.4011664
Costa Rica,CRI,1991,4.0748105
Costa Rica,CRI,1992,4.8164635
Costa Rica,CRI,1993,4.6984587
Costa Rica,CRI,1994,5.216167
Costa Rica,CRI,1995,5.1499414
Costa Rica,CRI,1996,5.1692533
Costa Rica,CRI,1997,5.615842
Costa Rica,CRI,1998,5.861693
Costa Rica,CRI,1999,6.279749
Costa Rica,CRI,2000,6.257551
Costa Rica,CRI,2001,6.340634
Costa Rica,CRI,2002,6.2581515
Costa Rica,CRI,2003,7.1622796
Costa Rica,CRI,2004,6.5838985
Costa Rica,CRI,2005,7.7620196
Costa Rica,CRI,2006,8.017045
Costa Rica,CRI,2007,8.310775
Costa Rica,CRI,2008,11.372923
Costa Rica,CRI,2009,11.505267
Costa Rica,CRI,2010,11.40137
Costa Rica,CRI,2011,10.128365
Costa Rica,CRI,2012,8.592673
Costa Rica,CRI,2013,8.577627
Costa Rica,CRI,2014,9.846647
Costa Rica,CRI,2015,11.378396
Costa Rica,CRI,2016,11.688089
Costa Rica,CRI,2017,12.074873
Costa Rica,CRI,2018,11.605453
Costa Rica,CRI,2019,11.0728
Costa Rica,CRI,2020,11.126065
Costa Rica,CRI,2021,11.40871







Croatia,HRV,1990,2.8110023
Croatia,HRV,1991,9.020497
Croatia,HRV,1992,8.065321
Croatia,HRV,1993,4.5488667
Croatia,HRV,1994,2.9671586
Croatia,HRV,1995,3.4532254
Croatia,HRV,1996,2.5637639
Croatia,HRV,1997,2.504578
Croatia,HRV,1998,2.2532516
Croatia,HRV,1999,2.4102511
Croatia,HRV,2000,2.2205446
Croatia,HRV,2001,1.7973005
Croatia,HRV,2002,1.6284217
Croatia,HRV,2003,1.5466903
Croatia,HRV,2004,1.86796
Croatia,HRV,2005,1.535099
Croatia,HRV,2006,1.6751331
Croatia,HRV,2007,1.4073216
Croatia,HRV,2008,1.6159633
Croatia,HRV,2009,1.1181778
Croatia,HRV,2010,1.4191923
Croatia,HRV,2011,1.1259601
Croatia,HRV,2012,1.1773956
Croatia,HRV,2013,1.0675694
Croatia,HRV,2014,0.8403416
Croatia,HRV,2015,0.86960304
Croatia,HRV,2016,1.041728
Croatia,HRV,2017,1.0972061
Croatia,HRV,2018,0.57685584
Croatia,HRV,2019,0.79907954
Croatia,HRV,2020,0.97635525
Croatia,HRV,2021,0.81278074



Cyprus,CYP,1990,0.6341154
Cyprus,CYP,1991,0.12514697
Cyprus,CYP,1992,0.24678227
Cyprus,CYP,1993,0.6053375
Cyprus,CYP,1994,0.8289478
Cyprus,CYP,1995,1.043578
Cyprus,CYP,1996,1.136288
Cyprus,CYP,1997,0.66854566
Cyprus,CYP,1998,0.7653117
Cyprus,CYP,1999,1.0734221
Cyprus,CYP,2000,0.8436705
Cyprus,CYP,2001,0.72551644
Cyprus,CYP,2002,0.20362565
Cyprus,CYP,2004,1.5706531
Cyprus,CYP,2005,1.9285259
Cyprus,CYP,2006,1.4212109
Cyprus,CYP,2007,1.2105714
Cyprus,CYP,2008,0.82388157
Cyprus,CYP,2009,1.710211
Cyprus,CYP,2010,0.7081617
Cyprus,CYP,2011,0.7859672
Cyprus,CYP,2012,1.9021984
Cyprus,CYP,2013,1.0283054
Cyprus,CYP,2014,0.9345834
Cyprus,CYP,2015,1.263392
Cyprus,CYP,2016,1.0852493
Cyprus,CYP,2017,0.5792194
Cyprus,CYP,2018,1.2306874
Cyprus,CYP,2019,1.2206669
Cyprus,CYP,2020,1.212085
Cyprus,CYP,2021,1.2859793





Czechia,CZE,1994,2.0055609
Czechia,CZE,1995,1.7067988
Czechia,CZE,1996,1.6803211
Czechia,CZE,1997,1.8192352
Czechia,CZE,1998,1.6952732
Czechia,CZE,1999,1.6781884
Czechia,CZE,2000,1.8661984
Czechia,CZE,2001,1.3196125
Czechia,CZE,2002,1.3576645
Czechia,CZE,2003,1.5905484
Czechia,CZE,2004,1.3059157
Czechia,CZE,2005,1.0505722
Czechia,CZE,2006,1.2615461
Czechia,CZE,2007,1.2188246
Czechia,CZE,2008,1.0984159
Czechia,CZE,2009,0.90198064
Czechia,CZE,2010,0.98425674
Czechia,CZE,2011,0.8193302
Czechia,CZE,2012,0.9989473
Czechia,CZE,2013,0.85595655
Czechia,CZE,2014,0.7701683
Czechia,CZE,2015,0.83620006
Czechia,CZE,2016,0.6174252
Czechia,CZE,2017,0.62670296
Czechia,CZE,2019,0.9205769
Czechia,CZE,2020,0.73117787
Czechia,CZE,2021,0.44716123







Denmark,DNK,1990,0.7969485
Denmark,DNK,1991,1.3182573
Denmark,DNK,1992,1.1979591
Denmark,DNK,1993,1.367021
Denmark,DNK,1994,1.4384903
Denmark,DNK,1995,1.1269873
Denmark,DNK,1996,1.2937577
Denmark,DNK,1997,1.6674936
Denmark,DNK,1998,0.9247042
Denmark,DNK,1999,0.97747046
Denmark,DNK,2000,1.0860091
Denmark,DNK,2001,0.9700138
Denmark,DNK,2002,0.89240944
Denmark,DNK,2010,0.7566411
Denmark,DNK,2011,0.8249618
Denmark,DNK,2012,0.83914196
Denmark,DNK,2013,0.853275
Denmark,DNK,2014,1.3095833
Denmark,DNK,2015,1.0919731
Denmark,DNK,2016,0.9812757
Denmark,DNK,2017,1.2375193
Denmark,DNK,2018,1.005777
Denmark,DNK,2019,1.1387403
Denmark,DNK,2020,0.9441021
Denmark,DNK,2021,0.80283684






Dominican Republic,DOM,1991,12.4752655
Dominican Republic,DOM,1992,10.865263
Dominican Republic,DOM,1993,12.275487
Dominican Republic,DOM,1994,13.011504
Dominican Republic,DOM,1995,12.795827
Dominican Republic,DOM,1996,12.880175
Dominican Republic,DOM,1997,12.736077
Dominican Republic,DOM,1998,13.535172
Dominican Republic,DOM,1999,12.673316
Dominican Republic,DOM,2000,14.167305
Dominican Republic,DOM,2001,12.631157
Dominican Republic,DOM,2002,14.542187
Dominican Republic,DOM,2003,21.323223
Dominican Republic,DOM,2004,24.759134
Dominican Republic,DOM,2005,26.121775
Dominican Republic,DOM,2006,23.093077
Dominican Republic,DOM,2007,22.452177
Dominican Republic,DOM,2008,25.139275
Dominican Republic,DOM,2009,24.616344
Dominican Republic,DOM,2010,25.307508
Dominican Republic,DOM,2011,25.37426
Dominican Republic,DOM,2012,22.610174
Dominican Republic,DOM,2013,19.474157
Dominican Republic,DOM,2014,17.603382
Dominican Republic,DOM,2016,15.35014
Dominican Republic,DOM,2017,11.420795
Dominican Republic,DOM,2018,9.920551
Dominican Republic,DOM,2019,9.428515
Dominican Republic,DOM,2020,8.73663
Dominican Republic,DOM,2021,10.541584






Ecuador,ECU,1990,8.536018
Ecuador,ECU,1991,10.789536
Ecuador,ECU,1992,8.566804
Ecuador,ECU,1993,8.317742
Ecuador,ECU,1994,10.037319
Ecuador,ECU,1995,11.867914
Ecuador,ECU,1996,12.421422
Ecuador,ECU,1997,10.982498
Ecuador,ECU,1998,13.46585
Ecuador,ECU,1999,13.551352
Ecuador,ECU,2000,14.517079
Ecuador,ECU,2001,12.907223
Ecuador,ECU,2002,14.582335
Ecuador,ECU,2007,15.948823
Ecuador,ECU,2008,17.983282
Ecuador,ECU,2009,17.805342
Ecuador,ECU,2010,17.505487
Ecuador,ECU,2011,15.376308
Ecuador,ECU,2012,12.412907
Ecuador,ECU,2013,10.971196
Ecuador,ECU,2014,8.209052
Ecuador,ECU,2015,6.4831214
Ecuador,ECU,2016,5.8334804
Ecuador,ECU,2017,5.8094463
Ecuador,ECU,2018,5.841674
Ecuador,ECU,2019,6.843968
Ecuador,ECU,2020,7.800509
Ecuador,ECU,2021,14.024255







Egypt,EGY,1990,0.47015947
Egypt,EGY,1991,0.49137506
Egypt,EGY,1992,0.46008325
Egypt,EGY,1993,0.39750937
Egypt,EGY,1994,0.36797592
Egypt,EGY,2003,0.62003607
Egypt,EGY,2004,0.41536367
Egypt,EGY,2005,0.6601302
Egypt,EGY,2006,0.6808908
Egypt,EGY,2007,0.8270619
Egypt,EGY,2008,1.1533216
Egypt,EGY,2009,1.0666534
Egypt,EGY,2010,2.1076782
Egypt,EGY,2011,3.0302672
Egypt,EGY,2012,2.4188852
Egypt,EGY,2014,3.0232553
Egypt,EGY,2015,1.750853
Egypt,EGY,2016,1.5353159
Egypt,EGY,2017,1.3360921






El Salvador,SLV,1994,134.77866
El Salvador,SLV,1995,138.77399
El Salvador,SLV,1996,117.16123
El Salvador,SLV,1997,112.50055
El Salvador,SLV,1998,94.88397
El Salvador,SLV,1999,64.90709
El Salvador,SLV,2000,59.595715
El Salvador,SLV,2001,59.95229
El Salvador,SLV,2002,47.161377
El Salvador,SLV,2003,55.684162
El Salvador,SLV,2004,64.56631
El Salvador,SLV,2005,64.29476
El Salvador,SLV,2006,65.07651
El Salvador,SLV,2007,57.85778
El Salvador,SLV,2008,52.38873
El Salvador,SLV,2009,71.939995
El Salvador,SLV,2010,65.210625
El Salvador,SLV,2011,71.21968
El Salvador,SLV,2012,42.10158
El Salvador,SLV,2013,40.62634
El Salvador,SLV,2014,63.144913
El Salvador,SLV,2015,106.8196
El Salvador,SLV,2016,84.40911
El Salvador,SLV,2017,63.223526
El Salvador,SLV,2018,53.311302
El Salvador,SLV,2019,38.183395
El Salvador,SLV,2020,21.310303
El Salvador,SLV,2021,18.165499






Estonia,EST,1990,7.512698
Estonia,EST,1991,7.6007886
Estonia,EST,1992,14.0874195
Estonia,EST,1993,18.744572
Estonia,EST,1994,20.464489
Estonia,EST,1995,16.933111
Estonia,EST,1996,14.916322
Estonia,EST,1997,12.522072
Estonia,EST,1998,13.889416
Estonia,EST,1999,11.186332
Estonia,EST,2000,10.237125
Estonia,EST,2001,9.870357
Estonia,EST,2002,10.295525
Estonia,EST,2007,7.161109
Estonia,EST,2008,6.432258
Estonia,EST,2009,5.245208
Estonia,EST,2010,5.2570906
Estonia,EST,2011,4.8966837
Estonia,EST,2012,4.7630496
Estonia,EST,2013,3.9454272
Estonia,EST,2014,3.118995
Estonia,EST,2015,3.4229474
Estonia,EST,2016,2.5077407
Estonia,EST,2017,2.2010574
Estonia,EST,2018,2.1177669
Estonia,EST,2019,1.9592499
Estonia,EST,2020,3.1592155
Estonia,EST,2021,1.9567984













Finland,FIN,1990,3.0482028
Finland,FIN,1991,3.0714896
Finland,FIN,1992,3.093936
Finland,FIN,1993,2.5658207
Finland,FIN,1994,2.8888726
Finland,FIN,1995,2.8582935
Finland,FIN,1996,2.98553
Finland,FIN,1997,2.7043104
Finland,FIN,1998,2.1926656
Finland,FIN,1999,2.7683718
Finland,FIN,2000,2.8592353
Finland,FIN,2001,3.0069377
Finland,FIN,2002,2.5381708
Finland,FIN,2003,1.9758338
Finland,FIN,2004,2.8308342
Finland,FIN,2005,2.2683642
Finland,FIN,2006,2.2596722
Finland,FIN,2007,2.4391677
Finland,FIN,2008,2.5031288
Finland,FIN,2009,2.2476897
Finland,FIN,2010,2.2001498
Finland,FIN,2011,2.041511
Finland,FIN,2012,1.6439292
Finland,FIN,2013,1.6363689
Finland,FIN,2014,1.6112968
Finland,FIN,2015,1.4964975
Finland,FIN,2016,1.3466251
Finland,FIN,2017,1.2163817
Finland,FIN,2018,1.5592532
Finland,FIN,2019,1.466983
Finland,FIN,2020,1.645728







France,FRA,1990,2.401933
France,FRA,1991,2.392082
France,FRA,1992,2.360015
France,FRA,1993,2.6624026
France,FRA,1994,2.4567506
France,FRA,1995,2.3267012
France,FRA,1996,2.0321684
France,FRA,1997,1.6649561
France,FRA,1998,1.6546046
France,FRA,1999,1.6331859
France,FRA,2000,1.7915143
France,FRA,2001,1.774132
France,FRA,2002,1.8847018
France,FRA,2003,1.652484
France,FRA,2004,1.6470233
France,FRA,2005,1.6129544
France,FRA,2006,1.442896
France,FRA,2007,1.6191262
France,FRA,2008,1.654218
France,FRA,2009,1.318983
France,FRA,2010,1.2747306
France,FRA,2011,1.3635943
France,FRA,2012,1.2430353
France,FRA,2013,1.2268063
France,FRA,2014,1.2455084
France,FRA,2015,1.5859641
France,FRA,2016,1.2173907
France,FRA,2017,1.106883
France,FRA,2018,1.0827998
France,FRA,2019,1.1692591
France,FRA,2020,1.0732001
France,FRA,2021,1.13743





Georgia,GEO,1990,5.0077567
Georgia,GEO,1991,7.872824
Georgia,GEO,1992,14.696543
Georgia,GEO,1993,17.123318
Georgia,GEO,1994,11.564827
Georgia,GEO,1995,8.016112
Georgia,GEO,1996,5.6707535
Georgia,GEO,1997,6.142199
Georgia,GEO,1998,5.378004
Georgia,GEO,1999,5.5523944
Georgia,GEO,2000,5.6035256
Georgia,GEO,2001,6.345788
Georgia,GEO,2002,7.1901217
Georgia,GEO,2004,7.470807
Georgia,GEO,2005,10.173732
Georgia,GEO,2006,8.21075
Georgia,GEO,2007,8.447523
Georgia,GEO,2008,6.7788773
Georgia,GEO,2009,5.447189
Georgia,GEO,2010,4.8738136
Georgia,GEO,2016,1.0341783
Georgia,GEO,2017,2.4125772
Georgia,GEO,2018,2.3592877
Georgia,GEO,2019,2.0420012








Germany,DEU,1990,1.1729844
Germany,DEU,1991,1.4122455
Germany,DEU,1992,1.4437997
Germany,DEU,1993,1.6730069
Germany,DEU,1994,2.4096794
Germany,DEU,1995,2.5048301
Germany,DEU,1996,2.3652885
Germany,DEU,1997,2.2103224
Germany,DEU,1998,1.9650563
Germany,DEU,1999,1.6258575
Germany,DEU,2000,1.6725591
Germany,DEU,2001,1.4488208
Germany,DEU,2002,1.4390358
Germany,DEU,2003,1.3485471
Germany,DEU,2004,1.3683347
Germany,DEU,2005,1.2855216
Germany,DEU,2006,1.2170813
Germany,DEU,2007,1.0938139
Germany,DEU,2008,1.0231787
Germany,DEU,2009,0.9881786
Germany,DEU,2010,0.97509885
Germany,DEU,2011,0.9063736
Germany,DEU,2012,0.8081371
Germany,DEU,2013,0.8349597
Germany,DEU,2014,0.87467664
Germany,DEU,2015,0.8309653
Germany,DEU,2016,1.1696628
Germany,DEU,2017,0.9839711
Germany,DEU,2018,0.9505807
Germany,DEU,2019,0.7492651
Germany,DEU,2020,0.93844897
Germany,DEU,2021,0.83324784








Greece,GRC,1990,1.0094877
Greece,GRC,1991,1.3280025
Greece,GRC,1992,1.307453
Greece,GRC,1993,1.4199919
Greece,GRC,1994,1.2491293
Greece,GRC,1995,1.4075413
Greece,GRC,1996,1.5642636
Greece,GRC,1997,1.8666197
Greece,GRC,1998,1.6088524
Greece,GRC,1999,1.4098777
Greece,GRC,2001,1.1921769
Greece,GRC,2002,0.8471051
Greece,GRC,2004,0.9986423
Greece,GRC,2005,1.1877502
Greece,GRC,2006,0.99044734
Greece,GRC,2007,1.1720695
Greece,GRC,2008,1.3003874
Greece,GRC,2009,1.3748817
Greece,GRC,2010,1.5951011
Greece,GRC,2011,1.6720091
Greece,GRC,2012,1.5140965
Greece,GRC,2013,1.4018042
Greece,GRC,2014,0.9849978
Greece,GRC,2015,0.86058193
Greece,GRC,2016,0.7814141
Greece,GRC,2017,0.8043225
Greece,GRC,2018,0.93104
Greece,GRC,2019,0.7376567
Greece,GRC,2020,0.7419928
Greece,GRC,2021,0.85205257















Honduras,HND,1990,9.806251
Honduras,HND,1991,13.542591
Honduras,HND,1992,17.86991
Honduras,HND,1993,22.78623
Honduras,HND,1994,29.762339
Honduras,HND,1995,26.389893
Honduras,HND,1999,39.568558
Honduras,HND,2000,47.71115
Honduras,HND,2001,51.0101
Honduras,HND,2002,51.610367
Honduras,HND,2003,56.554672
Honduras,HND,2004,49.286194
Honduras,HND,2005,42.460865
Honduras,HND,2006,40.25719
Honduras,HND,2007,45.277523
Honduras,HND,2008,54.987938
Honduras,HND,2009,63.7889
Honduras,HND,2010,73.79067
Honduras,HND,2011,82.38905
Honduras,HND,2012,81.570755
Honduras,HND,2013,71.769295
Honduras,HND,2014,64.53877
Honduras,HND,2015,55.38756
Honduras,HND,2016,54.435158
Honduras,HND,2017,40.13777
Honduras,HND,2018,37.874573
Honduras,HND,2019,40.94859
Honduras,HND,2020,35.695362
Honduras,HND,2021,38.245457








Hungary,HUN,1990,1.9371647
Hungary,HUN,1991,2.9591084
Hungary,HUN,1992,2.9411592
Hungary,HUN,1993,2.8771644
