Albania,ALB,1996,27
Albania,ALB,2002,31
Albania,ALB,2005,30
Albania,ALB,2008,29
Albania,ALB,2012,28
Albania,ALB,2014,34
Albania,ALB,2015,32
Albania,ALB,2016,33
Albania,ALB,2017,33
Albania,ALB,2018,30
Albania,ALB,2019,31
Algeria,DZA,1988,40
Algeria,DZA,1995,35
Algeria,DZA,2011,27
Angola,AGO,2000,51
Angola,AGO,2008,42
Angola,AGO,2018,51
Argentina - urban,,1980,41
Argentina - urban,,1986,43
Argentina - urban,,1987,45
Argentina - urban,,1991,47
Argentina - urban,,1992,45
Argentina - urban,,1993,45
Argentina - urban,,1994,46
Argentina - urban,,1995,49
Argentina - urban,,1996,50
Argentina - urban,,1997,49
Argentina - urban,,1998,51
Argentina - urban,,1999,50
Argentina - urban,,2000,51
Argentina - urban,,2001,53
Argentina - urban,,2002,54
Argentina - urban,,2003,51
Argentina - urban,,2004,48
Argentina - urban,,2005,48
Argentina - urban,,2006,46
Argentina - urban,,2007,46
Argentina - urban,,2008,44
Argentina - urban,,2009,43
Argentina - urban,,2010,43
Argentina - urban,,2011,42
Argentina - urban,,2012,41
Argentina - urban,,2013,41
Argentina - urban,,2014,42
Argentina - urban,,2016,42
Argentina - urban,,2017,41
Argentina - urban,,2018,41
Argentina - urban,,2019,43
Argentina - urban,,2020,42
Armenia,ARM,1996,44
Armenia,ARM,1999,36
Armenia,ARM,2001,35
Armenia,ARM,2002,35
Armenia,ARM,2003,33
Armenia,ARM,2004,38
Armenia,ARM,2005,36
Armenia,ARM,2006,30
Armenia,ARM,2007,31
Armenia,ARM,2008,29
Armenia,ARM,2009,28
Armenia,ARM,2010,30
Armenia,ARM,2011,29
Armenia,ARM,2012,30
Armenia,ARM,2013,31
Armenia,ARM,2014,31
Armenia,ARM,2015,32
Armenia,ARM,2016,32
Armenia,ARM,2017,33
Armenia,ARM,2018,34
Armenia,ARM,2019,30
Armenia,ARM,2020,25
Australia,AUS,1981,31
Australia,AUS,1985,32
Australia,AUS,1989,33
Australia,AUS,1995,32
Australia,AUS,2001,33
Australia,AUS,2003,33
Australia,AUS,2004,33
Australia,AUS,2008,35
Australia,AUS,2010,34
Australia,AUS,2014,34
Australia,AUS,2016,33
Australia,AUS,2018,34
Austria,AUT,1987,23
Austria,AUT,1994,31
Austria,AUT,1995,31
Austria,AUT,1997,30
Austria,AUT,2000,28
